created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-02-16T19:32:33-06:00,157,11350.00000,4910033.00000,1.28364,-19.50000,,,,
2023-02-16T19:34:41-06:00,158,11683.33301,4911683.00000,1.24744,-19.50000,,,,
2023-02-16T19:36:49-06:00,159,11766.66602,4909716.50000,1.23811,-19.50000,,,,
2023-02-16T19:38:57-06:00,160,11433.33301,4909700.00000,1.27420,-19.50000,,,,
2023-02-16T19:41:04-06:00,161,11283.33301,4919816.50000,1.29380,-19.50000,,,,
2023-02-16T19:43:12-06:00,162,11616.66602,4909300.00000,1.25399,-19.50000,,,,
2023-02-16T19:45:20-06:00,163,11383.33301,4916766.50000,1.28164,-19.25000,,,,
2023-02-16T19:47:28-06:00,164,11766.66602,4920016.50000,1.24070,-19.50000,,,,
2023-02-16T19:49:35-06:00,165,11666.66602,4919833.00000,1.25129,-19.25000,,,,
2023-02-16T19:51:43-06:00,166,11633.33301,4921833.00000,1.25539,-19.50000,,,,
2023-02-16T19:53:51-06:00,167,11466.66602,4919216.50000,1.27296,-19.50000,,,,
2023-02-16T19:55:58-06:00,168,11366.66602,4922400.00000,1.28499,-19.50000,,,,
2023-02-16T19:58:06-06:00,169,12000.00000,4920250.00000,1.21664,-19.25000,,,,
2023-02-16T20:00:14-06:00,170,11966.66602,4931550.00000,1.22283,-19.25000,,,,
2023-02-16T20:02:22-06:00,171,11766.66602,4909366.50000,1.23802,-19.25000,,,,
2023-02-16T20:04:29-06:00,172,11633.33301,4900150.00000,1.24986,-19.25000,,,,
2023-02-16T20:06:37-06:00,173,11666.66602,4900266.50000,1.24632,-19.25000,,,,
2023-02-16T20:08:45-06:00,174,11666.66602,4908666.50000,1.24845,-19.25000,,,,
2023-02-16T20:10:53-06:00,175,11633.33301,4910550.00000,1.25251,-19.25000,,,,
2023-02-16T20:13:00-06:00,176,11650.00000,4901983.00000,1.24854,-19.25000,,,,
2023-02-16T20:15:08-06:00,177,11916.66602,4911433.00000,1.22295,-19.50000,,,,
2023-02-16T20:17:16-06:00,178,11966.66602,4909783.00000,1.21743,-19.50000,,,,
2023-02-16T20:19:23-06:00,179,12016.66602,4902583.00000,1.21059,-19.50000,,,,
2023-02-16T20:21:31-06:00,180,11550.00000,4908000.00000,1.26089,-19.50000,,,,
2023-02-16T20:23:39-06:00,181,11633.33301,4917533.00000,1.25429,-19.25000,,,,
2023-02-16T20:25:47-06:00,182,12050.00000,4904533.00000,1.20772,-19.25000,,,,
2023-02-16T20:27:54-06:00,183,11800.00000,4939500.00000,1.24210,-19.50000,,,,
2023-02-16T20:30:02-06:00,184,11966.66602,4948383.00000,1.22700,-19.50000,,,,
2023-02-16T20:32:10-06:00,185,11600.00000,4908950.00000,1.25570,-19.25000,,,,
2023-02-16T20:34:18-06:00,186,11166.66602,4983566.50000,1.32426,-19.50000,,,,
2023-02-16T20:36:25-06:00,187,11300.00000,4922250.00000,1.29253,-19.50000,,,,
2023-02-16T20:38:33-06:00,188,11600.00000,4924033.00000,1.25956,-19.50000,,,,
2023-02-16T20:40:41-06:00,189,11366.66602,4922733.00000,1.28507,-19.50000,,,,
2023-02-16T20:42:49-06:00,190,11500.00000,4919416.50000,1.26932,-19.25000,,,,
