created_at,entry_id,period_low,period_high,ratio,temperature
2022-02-21T19:42:04-06:00,1159,2012,689294,2.33333,0
2022-02-21T19:42:20-06:00,1160,2052,696794,2.31274,0
2022-02-21T19:42:37-06:00,1161,2022,748056,2.51972,0
2022-02-21T19:42:53-06:00,1162,2114,746818,2.40607,0
2022-02-21T19:43:09-06:00,1163,2112,689064,2.22211,0
2022-02-21T19:43:25-06:00,1164,2116,737126,2.37260,0
2022-02-21T19:43:41-06:00,1165,2118,691186,2.22263,0
2022-02-21T19:43:57-06:00,1166,2116,748360,2.40876,0
2022-02-21T19:44:14-06:00,1167,2068,690878,2.27536,0
2022-02-21T19:44:30-06:00,1168,2030,692330,2.32282,0
2022-02-21T19:44:46-06:00,1169,2118,693612,2.23043,0
2022-02-21T19:45:02-06:00,1170,2116,738492,2.37700,0
2022-02-21T19:45:18-06:00,1171,2120,746424,2.39800,0
2022-02-21T19:45:34-06:00,1172,2120,701106,2.25241,0
2022-02-21T19:45:51-06:00,1173,2116,742832,2.39097,0
2022-02-21T19:46:07-06:00,1174,2080,729460,2.38857,0
2022-02-21T19:46:23-06:00,1175,2118,698744,2.24694,0
2022-02-21T19:46:39-06:00,1176,2124,731284,2.34493,0
2022-02-21T19:46:55-06:00,1177,2052,746118,2.47645,0
2022-02-21T19:47:12-06:00,1178,2044,705484,2.35074,0
2022-02-21T19:47:28-06:00,1179,2050,737104,2.44892,0
2022-02-21T19:47:44-06:00,1180,2126,737496,2.36263,0
2022-02-21T19:48:00-06:00,1181,2036,747348,2.50002,0
2022-02-21T19:48:16-06:00,1182,2042,691098,2.30506,0
2022-02-21T19:48:32-06:00,1183,2042,748602,2.49686,0
2022-02-21T19:48:49-06:00,1184,2020,711198,2.39794,0
2022-02-21T19:49:05-06:00,1185,2134,732486,2.33778,0
2022-02-21T19:49:21-06:00,1186,2046,747514,2.48836,0
2022-02-21T19:49:37-06:00,1187,2134,737324,2.35322,0
2022-02-21T19:49:53-06:00,1188,2048,746024,2.48097,0
2022-02-21T19:50:09-06:00,1189,2140,700840,2.23051,0
2022-02-21T19:50:26-06:00,1190,2024,742396,2.49818,0
2022-02-21T19:50:42-06:00,1191,2044,744266,2.47997,0
2022-02-21T19:50:58-06:00,1192,2052,742574,2.46468,0
2022-02-21T19:51:14-06:00,1193,2056,690070,2.28596,0
2022-02-21T19:51:30-06:00,1194,2058,731350,2.42035,0
2022-02-21T19:51:46-06:00,1195,2146,738040,2.34234,0
2022-02-21T19:52:02-06:00,1196,2146,696292,2.20984,0
2022-02-21T19:52:19-06:00,1197,2062,720682,2.38042,0
2022-02-21T19:52:35-06:00,1198,2172,741856,2.32626,0
2022-02-21T19:52:51-06:00,1199,2060,733120,2.42386,0
2022-02-21T19:53:07-06:00,1200,2180,746036,2.33079,0
2022-02-21T19:53:23-06:00,1201,2144,748982,2.37928,0
2022-02-21T19:53:39-06:00,1202,2028,711714,2.39021,0
2022-02-21T19:53:56-06:00,1203,2064,745900,2.46133,0
2022-02-21T19:54:12-06:00,1204,2036,747846,2.50169,0
2022-02-21T19:54:28-06:00,1205,2044,721898,2.40544,0
2022-02-21T19:54:44-06:00,1206,2048,749714,2.49324,0
2022-02-21T19:55:00-06:00,1207,2046,702076,2.33710,0
2022-02-21T19:55:16-06:00,1208,2134,733708,2.34168,0
2022-02-21T19:55:33-06:00,1209,2144,692186,2.19886,0
2022-02-21T19:55:49-06:00,1210,2050,692376,2.30031,0
2022-02-21T19:56:05-06:00,1211,2054,719130,2.38455,0
2022-02-21T19:56:21-06:00,1212,2042,733344,2.44597,0
2022-02-21T19:56:37-06:00,1213,2042,740384,2.46945,0
2022-02-21T19:56:53-06:00,1214,2038,711318,2.37716,0
2022-02-21T19:57:10-06:00,1215,2038,715432,2.39091,0
2022-02-21T19:57:26-06:00,1216,2032,702586,2.35491,0
2022-02-21T19:57:42-06:00,1217,2120,737512,2.36937,0
2022-02-21T19:57:58-06:00,1218,2036,701884,2.34794,0
2022-02-21T19:58:14-06:00,1219,2072,692378,2.27590,0
2022-02-21T19:58:30-06:00,1220,2122,697540,2.23884,0
2022-02-21T19:58:47-06:00,1221,2122,733804,2.35523,0
2022-02-21T19:59:03-06:00,1222,2066,714600,2.35576,0
2022-02-21T19:59:19-06:00,1223,2036,692608,2.31691,0
2022-02-21T19:59:35-06:00,1224,2024,732378,2.46447,0
2022-02-21T19:59:51-06:00,1225,2116,723442,2.32856,0
2022-02-21T20:00:08-06:00,1226,2052,707468,2.34816,0
2022-02-21T20:00:24-06:00,1227,2024,696594,2.34406,0
2022-02-21T20:00:40-06:00,1228,2114,696440,2.24377,0
2022-02-21T20:00:56-06:00,1229,2050,692442,2.30053,0
2022-02-21T20:01:12-06:00,1230,2036,693364,2.31944,0
2022-02-21T20:01:29-06:00,1231,2110,693618,2.23891,0
2022-02-21T20:01:45-06:00,1232,2032,732888,2.45648,0
2022-02-21T20:02:01-06:00,1233,2104,741814,2.40131,0
2022-02-21T20:02:17-06:00,1234,2016,711624,2.40414,0
2022-02-21T20:02:33-06:00,1235,2038,732810,2.44898,0
2022-02-21T20:02:49-06:00,1236,2048,696616,2.31666,0
2022-02-21T20:03:05-06:00,1237,2036,739218,2.47283,0
2022-02-21T20:03:22-06:00,1238,2044,742874,2.47533,0
2022-02-21T20:03:38-06:00,1239,2098,699916,2.27216,0
2022-02-21T20:03:54-06:00,1240,2458,728684,2.01909,0
2022-02-21T20:04:10-06:00,1241,2102,751116,2.43373,0
2022-02-21T20:04:26-06:00,1242,2004,724368,2.46184,0
2022-02-21T20:04:43-06:00,1243,2052,703442,2.33480,0
2022-02-21T20:04:59-06:00,1244,2062,751760,2.48307,0
2022-02-21T20:05:15-06:00,1245,2110,705568,2.27748,0
2022-02-21T20:05:31-06:00,1246,2002,731508,2.48859,0
2022-02-21T20:05:47-06:00,1247,1988,718648,2.46206,0
2022-02-21T20:06:03-06:00,1248,1992,749514,2.56265,0
2022-02-21T20:06:19-06:00,1249,1990,743204,2.54363,0
2022-02-21T20:06:36-06:00,1250,2046,751086,2.50025,0
2022-02-21T20:06:52-06:00,1251,2004,693790,2.35792,0
2022-02-21T20:07:08-06:00,1252,1992,696146,2.38018,0
2022-02-21T20:07:24-06:00,1253,2042,694248,2.31557,0
2022-02-21T20:07:40-06:00,1254,1992,713534,2.43963,0
2022-02-21T20:07:56-06:00,1255,1994,733916,2.50680,0
